status,canonical_name,display_name,raw_names,months,visits,naver_title,category,address,road_address,lat,lng,candidate_count,region_ok,category_ok,query,note
pending,봉산고기,봉산고기,봉산고기,2026-07,1,봉산고기 청주오송본점,"한식>육류,고기요리","충청북도 청주시 흥덕구 오송읍 봉산리 1005 104, 105호 봉산고기 청주오송본점","충청북도 청주시 흥덕구 오송읍 봉산2길 18 104, 105호 봉산고기 청주오송본점",36.6191504,127.3174753,1,yes,yes,청주 봉산고기,region=청주
pending,브라더한정식도시락오송점,브라더한정식도시락 오송점,브라더한정식도시락 오송점,2026-07,1,브라더한정식도시락 오송점,"음식점>도시락,컵밥",충청북도 청주시 흥덕구 오송읍 만수리 776 102호,충청북도 청주시 흥덕구 오송읍 연제만수길 54 102호,36.624284,127.3292328,1,yes,yes,청주 브라더한정식도시락오송점,region=청주
pending,브리드커피한국교원대2호점,브리드커피 한국교원대2호점,브리드커피 한국교원대2호점,2026-07,1,브리드커피 한국교원대2호점,"음식점>카페,디저트",충청북도 청주시 흥덕구 강내면 다락리 산7 국제연수원 1층,충청북도 청주시 흥덕구 강내면 태성탑연로 250 국제연수원 1층,36.6134687,127.3564676,1,yes,yes,청주 브리드커피한국교원대2호점,region=청주
pending,브리드커피한국교원대점,브리드커피 한국교원대점,브리드커피 한국교원대점,2026-07,1,브리드커피 한국교원대점,"음식점>카페,디저트",충청북도 청주시 흥덕구 강내면 다락리 산7 학생회관 1층,충청북도 청주시 흥덕구 강내면 태성탑연로 250 학생회관 1층,36.6083878,127.3597916,1,yes,yes,청주 브리드커피한국교원대점,region=청주
pending,삿뽀로,삿뽀로,삿뽀로,2026-07,1,삿뽀로 청주점,음식점>일식>일식당,충청북도 청주시 흥덕구 강서동 495,충청북도 청주시 흥덕구 2순환로 1250,36.624557,127.430783,1,yes,yes,청주 삿뽀로,region=청주
pending,쇼쿠도,쇼쿠도,쇼쿠도,2026-07,1,카츠와이찌,음식점>일식>돈가스,세종특별자치시 아름동 1293 해피라움2차 132호 카츠와이찌,세종특별자치시 보듬3로 92 해피라움2차 132호 카츠와이찌,36.5120168,127.2491152,1,yes,yes,세종 쇼쿠도,region=세종
pending,슈퍼막회,슈퍼막회,슈퍼막회,2026-07,1,슈퍼막회 율량3지구점,한식>생선회,충청북도 청주시 청원구 율량동 2042 1층 104호,충청북도 청주시 청원구 율량로190번길 25 1층 104호,36.6656488,127.4972072,5,yes,yes,청주 슈퍼막회,"region=청주; other candidates: 슈퍼막회 오송점, 슈퍼막회 복대동본점, 슈퍼막회 가경점"
pending,스시88,스시88,스시88,2026-07,1,스시88,"음식점>일식>초밥,롤",충청북도 청주시 흥덕구 오송읍 연제리 673 103호,충청북도 청주시 흥덕구 오송읍 오송생명로 161 103호,36.6324555,127.3275474,2,yes,yes,청주 스시88,region=청주; other candidates: 다누끼
pending,신토불이,신토불이,신토불이,2026-07,1,신토불이 교원대점,한식>오리요리,충청북도 청주시 흥덕구 강내면 탑연리 317-10 신토불이 교원대점,충청북도 청주시 흥덕구 강내면 태성탑연로 399 신토불이 교원대점,36.6188431,127.3564631,5,yes,yes,청주 신토불이,"region=청주; other candidates: 신토불이, 신토불이식당, 신토불이한우백화점"
pending,씨유한국교원대점,씨유한국교원대점,씨유한국교원대점,2026-07,1,CU 한국교원대점,"생활,편의>편의점",충청북도 청주시 흥덕구 강내면 월탄리 36-3 월탄리,충청북도 청주시 흥덕구 강내면 태성탑연로 256 (월탄리),36.6071157,127.3536545,1,yes,no,청주 씨유한국교원대점,region=청주; category is not food/beverage
